1405-05-05 11:32:21.328 Log saving enabled by user.
1405-05-05 14:34:51.579 Delimiter vk=32 layout=fa word='با' -> 'با'
1405-05-05 14:34:53.100 Delimiter vk=32 layout=fa word='کدوم' -> 'کدوم'
1405-05-05 14:34:57.219 Delimiter vk=32 layout=fa word='دستور' -> 'دستور'
1405-05-05 14:35:00.651 Delimiter vk=32 layout=fa word='میتونم' -> 'میتونم'
1405-05-05 14:35:01.443 Delimiter vk=32 layout=fa word='برم' -> 'برم'
1405-05-05 14:35:04.116 Delimiter vk=32 layout=fa word='تنظیمات' -> 'تنظیمات'
1405-05-05 14:35:05.027 Delimiter vk=32 layout=fa word='ای' -> 'ای'
1405-05-05 14:35:05.531 Delimiter vk=32 layout=fa word='پی' -> 'پی'
1405-05-05 14:35:06.163 Delimiter vk=32 layout=fa word='را' -> 'را'
1405-05-05 14:35:07.683 Delimiter vk=13 layout=fa word='ببینم' -> 'ببینم'
1405-05-05 14:40:54.699 Delimiter vk=13 layout=en word='' -> ''
1405-05-05 14:41:26.939 Delimiter vk=13 layout=en word='' -> ''
1405-05-05 14:41:40.251 Delimiter vk=13 layout=en word='' -> ''
1405-05-05 14:48:35.557 Delimiter vk=13 layout=en word='ir' -> 'ir'
1405-05-05 15:01:51.085 Delimiter vk=32 layout=fa word='مازول' -> 'مازول'
1405-05-05 15:01:54.268 Delimiter vk=13 layout=fa word='پیامک' -> 'پیامک'
1405-05-05 15:04:20.164 Delimiter vk=13 layout=en word='tg' -> 'فل'
1405-05-05 15:04:20.188 Apply delete=2 'tg' -> 'فل' (consumed: True)
1405-05-05 15:04:20.252 Layout switch OK -> Persian
1405-05-05 15:04:28.716 Delimiter vk=13 layout=en word='' -> ''
1405-05-05 15:19:28.998 Delimiter vk=13 layout=en word='crm' -> 'crm'
1405-05-05 15:20:11.765 Delimiter vk=13 layout=en word='' -> ''
1405-05-05 15:20:19.509 Delimiter vk=13 layout=en word='' -> ''
1405-05-05 15:20:26.076 Delimiter vk=9 layout=fa word='هادی' -> 'هادی'
1405-05-05 15:20:28.045 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 15:26:13.981 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 15:28:05.414 Delimiter vk=13 layout=en word='ira' -> 'ira'
1405-05-05 15:31:04.989 Delimiter vk=13 layout=en word='we' -> 'we'
1405-05-05 15:31:26.261 Delimiter vk=32 layout=fa word='خانم' -> 'خانم'
1405-05-05 15:31:27.981 Delimiter vk=32 layout=fa word='عسگری' -> 'عسگری'
1405-05-05 15:31:29.406 Delimiter vk=32 layout=fa word='پارسا' -> 'پارسا'
1405-05-05 15:31:30.702 Delimiter vk=32 layout=fa word='گفت' -> 'گفت'
1405-05-05 15:31:32.581 Delimiter vk=32 layout=fa word='فاکتور' -> 'فاکتور'
1405-05-05 15:31:33.598 Delimiter vk=32 layout=fa word='فروش' -> 'فروش'
1405-05-05 15:31:34.109 Delimiter vk=32 layout=fa word='ها' -> 'ها'
1405-05-05 15:31:34.541 Delimiter vk=32 layout=fa word='رو' -> 'رو'
1405-05-05 15:31:37.070 Delimiter vk=32 layout=fa word='بفرستیم' -> 'بفرستیم'
1405-05-05 15:31:37.662 Delimiter vk=32 layout=fa word='تو' -> 'تو'
1405-05-05 15:31:38.757 Delimiter vk=32 layout=fa word='گروه' -> 'گروه'
1405-05-05 15:31:39.509 Delimiter vk=32 layout=fa word='اما' -> 'اما'
1405-05-05 15:31:42.301 Delimiter vk=32 layout=fa word='بنظر' -> 'بنظر'
1405-05-05 15:31:44.334 Delimiter vk=32 layout=fa word='اقای' -> 'اقای'
1405-05-05 15:31:45.486 Delimiter vk=32 layout=fa word='رستمی' -> 'رستمی'
1405-05-05 15:31:46.934 Delimiter vk=32 layout=fa word='میگه' -> 'میگه'
1405-05-05 15:31:47.725 Delimiter vk=32 layout=fa word='برای' -> 'برای'
1405-05-05 15:31:48.886 Delimiter vk=32 layout=fa word='شخص' -> 'شخص'
1405-05-05 15:31:49.870 Delimiter vk=32 layout=fa word='خودش' -> 'خودش'
1405-05-05 15:31:51.805 Delimiter vk=32 layout=fa word='بفرستیم' -> 'بفرستیم'
1405-05-05 15:31:52.749 Delimiter vk=32 layout=fa word='بهتره' -> 'بهتره'
1405-05-05 15:31:54.918 Delimiter vk=32 layout=fa word='دیگه' -> 'دیگه'
1405-05-05 15:31:55.877 Delimiter vk=32 layout=fa word='خانم' -> 'خانم'
1405-05-05 15:31:57.110 Delimiter vk=32 layout=fa word='دهقان' -> 'دهقان'
1405-05-05 15:32:02.382 Delimiter vk=32 layout=fa word='نتونه' -> 'نتونه'
1405-05-05 15:32:06.253 Delimiter vk=13 layout=fa word='ببینه' -> 'ببینه'
1405-05-05 15:32:07.357 Delimiter vk=32 layout=fa word='برای' -> 'برای'
1405-05-05 15:32:09.117 Delimiter vk=32 layout=fa word='پیج' -> 'پیج'
1405-05-05 15:32:11.110 Delimiter vk=32 layout=fa word='ملزومات' -> 'ملزومات'
1405-05-05 15:32:11.581 Delimiter vk=32 layout=fa word='هم' -> 'هم'
1405-05-05 15:32:14.165 Delimiter vk=32 layout=fa word='پارسا' -> 'پارسا'
1405-05-05 15:32:15.421 Delimiter vk=32 layout=fa word='گفت' -> 'گفت'
1405-05-05 15:32:16.614 Delimiter vk=32 layout=fa word='از' -> 'از'
1405-05-05 15:32:17.285 Delimiter vk=32 layout=fa word='شما' -> 'شما'
1405-05-05 15:32:18.733 Delimiter vk=32 layout=fa word='پیگیری' -> 'پیگیری'
1405-05-05 15:32:19.917 Delimiter vk=13 layout=fa word='کنم' -> 'کنم'
1405-05-05 15:33:20.853 Delimiter vk=32 layout=fa word='سلام' -> 'سلام'
1405-05-05 15:33:21.749 Delimiter vk=32 layout=fa word='وقت' -> 'وقت'
1405-05-05 15:33:22.677 Delimiter vk=32 layout=fa word='بخیر' -> 'بخیر'
1405-05-05 15:33:24.342 Delimiter vk=32 layout=fa word='میخواستم' -> 'میخواستم'
1405-05-05 15:33:27.990 Delimiter vk=32 layout=fa word='اسم' -> 'اسم'
1405-05-05 15:33:29.125 Delimiter vk=32 layout=fa word='شرکت' -> 'شرکت'
1405-05-05 15:33:29.653 Delimiter vk=32 layout=fa word='را' -> 'را'
1405-05-05 15:33:31.957 Delimiter vk=32 layout=fa word='تغییر' -> 'تغییر'
1405-05-05 15:33:32.733 Delimiter vk=32 layout=fa word='دهم' -> 'دهم'
1405-05-05 15:33:40.997 Delimiter vk=32 layout=fa word='' -> ''
1405-05-05 15:33:41.677 Delimiter vk=32 layout=fa word='ام' -> 'ام'
1405-05-05 15:33:43.829 Delimiter vk=32 layout=fa word='ا' -> 'ا'
1405-05-05 15:33:45.037 Delimiter vk=32 layout=fa word='تغییر' -> 'تغییر'
